#proc cat nGausRV nGausWV
OutsideAcceptance hgg_TCJ_15p0_20p0_cat0_17 -1 -1
OutsideAcceptance hgg_TCJ_15p0_20p0_cat1_17 -1 -1
OutsideAcceptance hgg_TCJ_15p0_20p0_cat2_17 2 -1
OutsideAcceptance hgg_TCJ_20p0_30p0_cat0_17 2 -1
OutsideAcceptance hgg_TCJ_20p0_30p0_cat1_17 2 -1
OutsideAcceptance hgg_TCJ_20p0_30p0_cat2_17 4 -1
OutsideAcceptance hgg_TCJ_30p0_50p0_cat0_17 1 -1
OutsideAcceptance hgg_TCJ_30p0_50p0_cat1_17 2 -1
OutsideAcceptance hgg_TCJ_30p0_50p0_cat2_17 1 -1
OutsideAcceptance hgg_TCJ_50p0_80p0_cat0_17 1 -1
OutsideAcceptance hgg_TCJ_50p0_80p0_cat1_17 1 -1
OutsideAcceptance hgg_TCJ_50p0_80p0_cat2_17 2 -1
OutsideAcceptance hgg_TCJ_80p0_10000p0_cat0_17 2 -1
OutsideAcceptance hgg_TCJ_80p0_10000p0_cat1_17 2 -1
OutsideAcceptance hgg_TCJ_80p0_10000p0_cat2_17 -1 -1
OutsideAcceptance hgg_TCJ_m1000p0_15p0_cat0_17 1 -1
OutsideAcceptance hgg_TCJ_m1000p0_15p0_cat1_17 1 1
OutsideAcceptance hgg_TCJ_m1000p0_15p0_cat2_17 2 1
smH_TCJ_15p0_20p0 hgg_TCJ_15p0_20p0_cat0_17 2 -1
smH_TCJ_15p0_20p0 hgg_TCJ_15p0_20p0_cat1_17 3 -1
smH_TCJ_15p0_20p0 hgg_TCJ_15p0_20p0_cat2_17 3 -1
smH_TCJ_15p0_20p0 hgg_TCJ_20p0_30p0_cat0_17 2 -1
smH_TCJ_15p0_20p0 hgg_TCJ_20p0_30p0_cat1_17 3 -1
smH_TCJ_15p0_20p0 hgg_TCJ_20p0_30p0_cat2_17 2 -1
smH_TCJ_15p0_20p0 hgg_TCJ_30p0_50p0_cat0_17 4 -1
smH_TCJ_15p0_20p0 hgg_TCJ_30p0_50p0_cat1_17 4 -1
smH_TCJ_15p0_20p0 hgg_TCJ_30p0_50p0_cat2_17 4 -1
smH_TCJ_15p0_20p0 hgg_TCJ_50p0_80p0_cat0_17 -1 -1
smH_TCJ_15p0_20p0 hgg_TCJ_50p0_80p0_cat1_17 -1 -1
smH_TCJ_15p0_20p0 hgg_TCJ_50p0_80p0_cat2_17 -1 -1
smH_TCJ_15p0_20p0 hgg_TCJ_80p0_10000p0_cat0_17 -1 -1
smH_TCJ_15p0_20p0 hgg_TCJ_80p0_10000p0_cat1_17 -1 -1
smH_TCJ_15p0_20p0 hgg_TCJ_80p0_10000p0_cat2_17 -1 -1
smH_TCJ_15p0_20p0 hgg_TCJ_m1000p0_15p0_cat0_17 1 1
smH_TCJ_15p0_20p0 hgg_TCJ_m1000p0_15p0_cat1_17 3 2
smH_TCJ_15p0_20p0 hgg_TCJ_m1000p0_15p0_cat2_17 2 1
smH_TCJ_20p0_30p0 hgg_TCJ_15p0_20p0_cat0_17 3 -1
smH_TCJ_20p0_30p0 hgg_TCJ_15p0_20p0_cat1_17 3 -1
smH_TCJ_20p0_30p0 hgg_TCJ_15p0_20p0_cat2_17 2 -1
smH_TCJ_20p0_30p0 hgg_TCJ_20p0_30p0_cat0_17 3 -1
smH_TCJ_20p0_30p0 hgg_TCJ_20p0_30p0_cat1_17 3 -1
smH_TCJ_20p0_30p0 hgg_TCJ_20p0_30p0_cat2_17 2 1
smH_TCJ_20p0_30p0 hgg_TCJ_30p0_50p0_cat0_17 4 -1
smH_TCJ_20p0_30p0 hgg_TCJ_30p0_50p0_cat1_17 1 -1
smH_TCJ_20p0_30p0 hgg_TCJ_30p0_50p0_cat2_17 2 -1
smH_TCJ_20p0_30p0 hgg_TCJ_50p0_80p0_cat0_17 -1 -1
smH_TCJ_20p0_30p0 hgg_TCJ_50p0_80p0_cat1_17 -1 -1
smH_TCJ_20p0_30p0 hgg_TCJ_50p0_80p0_cat2_17 -1 -1
smH_TCJ_20p0_30p0 hgg_TCJ_80p0_10000p0_cat0_17 -1 -1
smH_TCJ_20p0_30p0 hgg_TCJ_80p0_10000p0_cat1_17 -1 -1
smH_TCJ_20p0_30p0 hgg_TCJ_80p0_10000p0_cat2_17 -1 -1
smH_TCJ_20p0_30p0 hgg_TCJ_m1000p0_15p0_cat0_17 1 1
smH_TCJ_20p0_30p0 hgg_TCJ_m1000p0_15p0_cat1_17 3 1
smH_TCJ_20p0_30p0 hgg_TCJ_m1000p0_15p0_cat2_17 4 1
smH_TCJ_30p0_50p0 hgg_TCJ_15p0_20p0_cat0_17 1 -1
smH_TCJ_30p0_50p0 hgg_TCJ_15p0_20p0_cat1_17 1 -1
smH_TCJ_30p0_50p0 hgg_TCJ_15p0_20p0_cat2_17 3 -1
smH_TCJ_30p0_50p0 hgg_TCJ_20p0_30p0_cat0_17 4 -1
smH_TCJ_30p0_50p0 hgg_TCJ_20p0_30p0_cat1_17 4 -1
smH_TCJ_30p0_50p0 hgg_TCJ_20p0_30p0_cat2_17 2 -1
smH_TCJ_30p0_50p0 hgg_TCJ_30p0_50p0_cat0_17 4 -1
smH_TCJ_30p0_50p0 hgg_TCJ_30p0_50p0_cat1_17 2 -1
smH_TCJ_30p0_50p0 hgg_TCJ_30p0_50p0_cat2_17 4 -1
smH_TCJ_30p0_50p0 hgg_TCJ_50p0_80p0_cat0_17 2 -1
smH_TCJ_30p0_50p0 hgg_TCJ_50p0_80p0_cat1_17 2 -1
smH_TCJ_30p0_50p0 hgg_TCJ_50p0_80p0_cat2_17 2 -1
smH_TCJ_30p0_50p0 hgg_TCJ_80p0_10000p0_cat0_17 -1 -1
smH_TCJ_30p0_50p0 hgg_TCJ_80p0_10000p0_cat1_17 -1 -1
smH_TCJ_30p0_50p0 hgg_TCJ_80p0_10000p0_cat2_17 -1 -1
smH_TCJ_30p0_50p0 hgg_TCJ_m1000p0_15p0_cat0_17 2 -1
smH_TCJ_30p0_50p0 hgg_TCJ_m1000p0_15p0_cat1_17 2 -1
smH_TCJ_30p0_50p0 hgg_TCJ_m1000p0_15p0_cat2_17 1 4
smH_TCJ_50p0_80p0 hgg_TCJ_15p0_20p0_cat0_17 -1 -1
smH_TCJ_50p0_80p0 hgg_TCJ_15p0_20p0_cat1_17 1 -1
smH_TCJ_50p0_80p0 hgg_TCJ_15p0_20p0_cat2_17 2 -1
smH_TCJ_50p0_80p0 hgg_TCJ_20p0_30p0_cat0_17 1 -1
smH_TCJ_50p0_80p0 hgg_TCJ_20p0_30p0_cat1_17 1 -1
smH_TCJ_50p0_80p0 hgg_TCJ_20p0_30p0_cat2_17 2 -1
smH_TCJ_50p0_80p0 hgg_TCJ_30p0_50p0_cat0_17 2 -1
smH_TCJ_50p0_80p0 hgg_TCJ_30p0_50p0_cat1_17 2 -1
smH_TCJ_50p0_80p0 hgg_TCJ_30p0_50p0_cat2_17 3 -1
smH_TCJ_50p0_80p0 hgg_TCJ_50p0_80p0_cat0_17 2 -1
smH_TCJ_50p0_80p0 hgg_TCJ_50p0_80p0_cat1_17 4 -1
smH_TCJ_50p0_80p0 hgg_TCJ_50p0_80p0_cat2_17 2 -1
smH_TCJ_50p0_80p0 hgg_TCJ_80p0_10000p0_cat0_17 3 -1
smH_TCJ_50p0_80p0 hgg_TCJ_80p0_10000p0_cat1_17 1 -1
smH_TCJ_50p0_80p0 hgg_TCJ_80p0_10000p0_cat2_17 1 -1
smH_TCJ_50p0_80p0 hgg_TCJ_m1000p0_15p0_cat0_17 4 -1
smH_TCJ_50p0_80p0 hgg_TCJ_m1000p0_15p0_cat1_17 2 -1
smH_TCJ_50p0_80p0 hgg_TCJ_m1000p0_15p0_cat2_17 4 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_15p0_20p0_cat0_17 -1 -1
smH_TCJ_80p0_10000p0 hgg_TCJ_15p0_20p0_cat1_17 -1 -1
